,name,quantity,currency,has_presale,presale_price,presale_date,starting_price,release_date,discord,twitter,website
197,Awesome Possums,100000.0,ETH,False,,,,,928144843371315253,1_AwesomePossum,https://awesomepossums.io
198,Wild Fox Squad,10.0,ETH,False,,,,,g9wNFPvB,WildFoxSquadNFT,https://www.wildfoxsquad.com
199,The Last Mayan Treasure,9999.0,ETH,False,,,,,5QGBX95Evh,Last_Mayan_NFT,https://www.thelastmayantreasure.io
200,Denizen,9999.0,ETH,False,,,,,denizen,denizenio,https://denizen.io
201,Glody Knights,6500.0,ETH,False,,,,,glodyknights,GlodyKnightsNFT,https://www.glodyknights.com
202,Mini Moo NFT,10000.0,ETH,True,0.04,,0.04,,dFRKMM6P3Q,MiniMooNFT,https://www.minimoonft.com/
203,The Kids,9001.0,,False,,,,,CGmAuACtRh,wethekidsNFT,https://www.wethekids.xyz/
204,Ponini's,,,False,,,,,z7HFNAJkeY,poninisnft,https://www.poninis.com
205,CavernCores,125.0,DAI,False,,,,,caverncores,CavernCores,https://caverncores.com
206,Cool Astronauts,3333.0,ETH,False,,,,,FAA65MbNpg,CoolAstronauts,https://coolastronauts.art/
207,Pit Puppies,5000.0,MATIC,True,10.0,2022-06-01 09:00:00,10.0,2022-06-01 09:00:00,GAJPfv5Vpu,vianijoe,https://www.pitpuppies.app
208,Cool Astronauts,3333.0,ETH,True,0.07,,0.07,,FAA65MbNpg,CoolAstronauts,https://coolastronauts.art/
209,Silly Pineapple Club,10000.0,ETH,True,0.06,2022-06-01 17:00:00,0.06,2022-06-01 17:00:00,nUWhtExCkw,SillyPineClub?t=188UtJhUVPjT-5iuh75U8w&s=09,https://sillypineapplenft.com/#
210,Arcadm,25.0,ETH,False,,,,,976DrsZtk7,Arcadmverse,https://www.arcadm.io/
211,Country Ape Squad,10000.0,ETH,False,,,,,2VwgXzX8,CountryApeSquad,https://countryapesquad.com/
212,Fancy Fox Association,9189.0,SOL,False,,,,,eAgqaA9Rrn,fancyfoxassoc,https://www.fancyfoxassociation.org/
213,MyWorld,10000.0,MATIC,True,,2022-06-04 00:00:00,,2022-06-04 00:00:00,7PaBK6BbAj,myworld_nft,https://www.my-world-nft.com
214,Sewer Squad,9420.0,ETH,True,0.069,2022-06-05 15:00:00,0.069,2022-06-05 15:00:00,wn9YewYDRq,sewersquadnft,https://sewersquadnft.com
215,CrypTickz,6969.0,ETH,False,,,,,VpTqJ9a9h7,CrypTickzNFT,https://www.cryptickz.io
216,Galactic Apeventures,6666.0,ETH,False,,,,,HrAeKG2YXM,apeventuresnft,https://www.galacticapeventures.io/
217,F-0x - Enter The Yama,10000.0,,False,,,,,FV98MU8ekT,EnterTheYama,https://f-0x.com
218,Ġalavant by Gorilla Mobile,8888.0,ETH,True,,2022-06-17 05:00:00,,2022-06-17 05:00:00,hbkRgEczBw,GorillaGoMobile,https://gorilla.global/metaverse/glvt
219,PrimoMartians,6685.0,ETH,False,,,,,VXdgAJkHDE,PrimoMartians,https://www.primomartians.io
220,Silverback Rhino's,2800.0,ETH,False,,,,,JtwEZyAwcW,SBR_nft,https://www.silverbackrhinos.com/
221,The Island,5668.0,ETH,False,,,,,ArgKA4jz,The_IslandNFT,https://theislandnft.io/
222,THE ALL SEEING LEMON,11011.0,,False,,,,,UKrhGketaN,allseeinglemon,https://allseeinglemon.io
223,ZODIAC PROJECT,12052.0,ETH,False,,,,,VDdk4YdRgH,zdc_project,https://www.zodiacproject.io/
224,Bad Ape Pirate Crew,10000.0,,False,,,,,wjutTte6sW,BadApePirates,https://badapepiratecrew.com/
225,Mofu Mofu Girls NFT,8888.0,ETH,True,0.05,,0.05,,WZ8JyJaXp3,mfmfgirls,https://mofumofugirls.com/
226,Now For Them,7777.0,,False,,,,,ma6jsYXPUj,nowforthemnft,https://www.nowforthem.com/
